Subject,Condition,User ID,ManipulationText,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FD,SD,UP,FW,TFAD1_3,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,Q37_3,1aAns,T1a_3,1bAns,T1b_3,1cAns,T1c_3,2aAns,T2a_3,2bAns,T2b_3,2cAns,T2c_3,3aAns,T3a_3,3bAns,T3b_3,3cAns,T3c_3,4aAns,T4a_3,4bAns,T4b_3,4cAns,T4c_3,5aAns,T5a_3,5bAns,T5b_3,5cAns,T5c_3,6aAns,T6a_3,6bAns,T6b_3,6cAns,T6c_3,7aAns,T7a_3,7bAns,T7b_3,7cAns,T7c_3,8aAns,T8a_3,8bAns,T8b_3,8cAns,T8c_3,9aAns,T9a_3,9bAns,T9b_3,9cAns,T9c_3,10aAns,T10a_3,10bAns,T10b_3,10cAns,T10c_3,11aAns,T11a_3,11bAns,T11b_3,11cAns,T11c_3,12aAns,T12a_3,12bAns,T12b_3,12cAns,T12c_3,13aAns,T13a_3,13bAns,T13b_3,13cAns,T13c_3,14aAns,T14a_3,14bAns,T14b_3,14cAns,T14c_3,15aAns,T15a_3,15bAns,T15b_3,15cAns,T15c_3,16aAns,T16a_3,16bAns,T16b_3,16cAns,T16c_3,17aAns,T17a_3,17bAns,T17b_3,17cAns,T17c_3,18aAns,T18a_3,18bAns,T18b_3,18cAns,T18c_3,19aAns,T19a_3,19bAns,T19b_3,19cAns,T19c_3,20aAns,T20a_3,20bAns,T20b_3,20cAns,T20c_3,Purpose,Environ,Monitor,Monitor_TEXT,Browser,Browser_TEXT,Gender,Age,Edu,L1,Country,Comments
65,1,A3JXG5KH5UN417,"218,550",3,4,2,4,3,2,4,5,3,2,3,4,3,4,3,4,4,3,2,2,4,4,2,3,2,4,4,16,22,22,27,"163,443",4,2,1,1,3,1,1,1,1,3,3,3,1,2,1,4,3,1,2,1,"74,267",,0.582,,,9,"70,505",,0.817,,,3,"97,009",,0.667,,,4,"36,834",,0.524,,,10,"91,561",,"1,189",,,6,"31,573",,0.596,,,43,"178,647",,"1,336",,,9,"43,594",,"1,371",,,30,"54,989",,0.882,,,27,122.86,,"1,864",,,11,"142,717",,0.764,,,41,"154,976",,0.494,,,9,"88,555",,0.646,,,13,"139,531",,0.658,,,-6,"94,003",,0.663,,,-7,"85,214",,0.607,,,-35,"65,115",,0.585,,,42,"62,508",,"1,492",,,32,"63,549",,0.893,,,3,"79,732",,0.535,,,34,"80,213","Whether or not people are honest enough to continue pressing the space bar, since not doing so would save time.",1,2,,2,,2,27,6,English,USA,
66,1,A1HHQL4N00WU03,"71,952",1,4,3,2,2,2,3,5,1,3,2,5,2,4,4,5,3,4,2,3,4,4,3,4,3,5,2,9,25,22,29,"76,405",3,1,2,1,2,1,1,1,2,2,1,4,1,1,1,2,3,2,3,1,"228,701",,0.651,,,9,"14,605",,"2,675",,,15,"14,695",,"1,652",,,10,"12,453",,10,10,"8,091",,,,10,6,"5,769",,,,"1,378",,,43,19.56,,"1,118",,,9,"11,798",,"1,194",,,30,"20,421",,"1,228",,,26,"15,323",,0.763,,,-11,"18,919",,0.515,,,41,"29,637",,"2,001",9,"22,134",,,,"2,003",13,"47,921",,,,1.43,,,-6,"22,823",,2,-7,"17,515",,,,"1,766",,,-34,"29,797",,"1,523",,,42,"19,223",,"1,262",,,32,"14,504",,0.654,,,3,"10,904",,0.793,,,34,"15,027",I'm really not sure,2,2,,4,,1,27,6,English,USA,
67,1,A3032TP7DCPKFQ,"216,981",2,3,2,3,2,1,4,5,2,2,3,4,3,4,4,4,3,3,3,4,4,2,3,2,4,3,5,12,17,29,26,"7,131",4,1,3,1,3,1,1,1,2,2,1,4,1,2,1,2,4,1,3,1,"48,986",,0.517,,,24,"76,665",,"7,202",,,3,"52,557",,"1,486",,,10,"29,714",,"10,003",10,"22,538",,,,0.667,,,-4,"30,245",,"5,906",,,43,"23,998",,0.944,,,9,"30,407",,"10,013",30,"6,427",,,,1.18,,,27,"28,281",,"1,057",,,70,24.38,,"2,013",41,"8,531",,,,0.464,,,23,39.89,,"1,723",,,13,"27,278",,0.821,,,-6,"61,129",,"2,006",-7,"3,738",,,,0.674,,,-34,"24,103",,"2,005",42,"3,516",,,,0.542,,,32,"21,421",,0.331,,,3,"23,964",,"2,005",34,"5,498",,,honesty,1,1,,2,,1,30,4,English,America,
68,1,A1VE0KG5BAO7EU,"208,834",1,3,2,4,1,3,4,4,1,2,2,4,2,5,2,4,2,5,2,4,4,4,4,3,2,4,3,7,25,21,28,"208,058",4,1,1,1,1,1,2,1,2,1,1,3,1,3,2,2,2,1,2,2,"78,293",,0.61,,,9,"45,883",,"8,628",,,3,"22,994",,0.566,,,13,"19,997",,0.577,,,10,"21,137",,0.516,,,6,"20,474",,0.367,,,43,19.2,,0.366,,,9,"18,996",,0.413,,,30,19.84,,0.514,,,27,"19,052",,0.494,,,-11,"22,164",,0.379,,,41,"18,372",,0.421,,,9,"15,582",,0.383,,,13,"17,895",,0.34,,,-6,"17,033",,0.374,,,-7,"17,591",,0.38,,,-34,"21,049",,0.38,,,42,"17,027",,0.428,,,32,"15,923",,0.322,,,3,"17,811",,0.397,,,34,"17,357","Morality after reading a scientific paper that talks about the non-existence of a soul. There's no reason a program would need to hit space, I think it's a test about willingness to cheat after a task seems menial.",1,2,,4,,1,24,6,English,USA,
69,1,A3VRD5WTKI0QCQ,"235,958",2,4,3,3,2,2,2,3,2,2,2,2,3,2,3,3,2,3,2,3,3,2,3,3,2,3,4,11,18,21,20,179.52,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,"64,596",,0.335,,,9,"28,812",,0.557,,,3,"31,342",,0.261,,,10,"119,947",,0.309,,,9,"48,276",,0.341,,,6,"22,837",,0.321,,,43,"48,613",,0.301,,,7,"26,994",,0.292,,,30,"81,143",,0.327,,,27,"22,299",,0.271,,,-11,"105,626",,0.26,,,41,"128,568",,"2,006",9,"23,808",,,,0.257,,,13,"32,739",,0.334,,,-6,"20,362",,"2,007",-7,"5,206",,,,0.537,,,-34,"40,612",,0.281,,,42,"19,431",,0.844,,,32,"33,147",,0.738,,,3,"30,105",,0.26,,,34,"27,327",attentiveness,1,1,,2,,1,22,3,English,USA,
70,1,A2YFM1CTH90BFH,"208,049",2,3,3,4,3,1,5,5,2,2,4,3,3,4,4,5,3,1,3,2,4,3,5,3,3,2,5,13,17,29,28,"155,304",2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,"51,997",,0.347,,,19,"67,834",,"1,028",,,3,"8,848",,0.752,,,10,"50,667",,0.608,,,10,"73,105",,0.47,,,6,"65,085",,0.43,,,43,"116,506",,0.27,,,9,"85,913",,0.322,,,30,"68,106",,0.381,,,29,"60,412",,0.403,,,-15,"64,969",,0.537,,,41,45.9,,0.347,,,9,"60,016",,0.334,,,13,"50,752",,0.545,,,-8,"36,486",,0.349,,,3,"34,044",,0.356,,,-34,"73,312",,0.473,,,42,"57,029",,0.519,,,22,40.47,,0.318,,,3,"47,256",,0.262,,,34,"100,228","To be honest. after taking all those math questions, I don't remember what was at the beginning of this survey. I would guess it's about testing concentration.",2,1,,4,,1,26,3,English,United States,
71,1,A2UFQLAOB2JXOI,"229,417",2,4,3,2,2,3,3,4,3,4,3,4,3,3,3,4,2,3,3,3,2,3,4,3,3,3,3,12,23,24,23,"183,888",3,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,3,1,2,1,"86,771",,"10,003",9,"180,637",,,,0.843,,,3,"77,048",,0.942,,,10,26.99,,0.687,,,10,"45,037",,0.904,,,6,"21,422",,1.21,,,42,"28,226",,0.686,,,25,"43,814",,0.622,,,30,"20,258",,0.635,,,27,"29,018",,0.59,,,-9,"64,272",,0.63,,,39,"25,056",,0.436,,,9,"36,495",,0.553,,,13,"17,385",,0.497,,,-6,"25,068",,0.441,,,-7,24.27,,0.487,,,-34,"48,116",,0.464,,,42,"15,804",,0.402,,,32,"21,325",,0.524,,,3,"21,837",,0.468,,,34,"27,999",If one cheats to get answers,1,1,,4,,1,41,3,English,United States,
72,1,A194E79BDFEZIU,"269,305",1,4,3,4,2,4,5,5,2,3,4,4,2,4,4,5,2,4,2,3,4,4,4,3,2,3,4,9,26,27,29,"207,534",3,1,1,1,2,1,1,1,2,2,1,3,1,2,2,3,3,1,3,1,"73,835",,2.82,,,-6,"38,987",,2.16,,,-1,"40,295",,0.784,,,13,"29,448",,0.972,,,10,"34,626",,"1,228",,,26,"34,453",,0.764,,,43,"33,304",,0.93,,,9,"38,096",,0.985,,,30,"30,663",,0.91,,,27,"39,481",,0.79,,,-11,"33,704",,"2,004",41,"13,464",,,,"1,412",,,23,"76,685",,0.743,,,3,"37,039",,0.846,,,-6,"31,518",,"1,527",,,-7,"34,925",,"1,976",-34,"46,153",,,,0.631,,,42,39.66,,0.805,,,32,"35,429",,0.679,,,3,"29,398",,0.768,,,34,"28,361",Honesty and truthfulness.,1,2,,4,,1,51,4,English,United States,
73,1,A3DT085TCZLLMH,"170,381",1,4,3,5,1,3,2,5,1,4,2,4,4,4,2,4,3,2,2,2,4,4,4,5,1,3,4,10,26,18,29,"125,852",4,5,1,4,2,5,4,2,2,1,5,1,2,3,5,3,2,2,1,5,"72,779",,"1,619",,,9,"18,368",,"2,733",,,3,"42,323",,"9,999",10,"45,171",,,,"1,839",,,26,"20,784",,9.98,6,"153,572",,,,"10,003",43,"7,866",,,,"10,014",9,"3,011",,,,"9,926",30,"3,997",,,,"10,129",27,50.76,,,,"10,067",-11,"15,422",,,,"2,135",41,"25,499",,,,"2,054",23,"19,933",,,,"2,011",18,"23,978",,,,"2,056",-7,"25,259",,,,"2,085",-7,"20,857",,,,"2,111",-26,"29,616",,,,"2,013",32,"13,747",,,,"2,003",32,"17,481",,,,2.15,19,16.65,,,,"1,995",34,"14,928",,,Seeing if we cheat?,5,2,,2,,2,42,4,English,USA,
74,1,A2A9JD9UV8DQZX,"335,029",4,3,2,4,3,3,5,4,3,3,4,4,3,2,5,4,4,3,4,2,5,3,3,3,1,4,3,17,20,26,28,"133,338",4,4,3,1,4,1,2,1,4,4,1,4,2,4,4,4,3,1,3,2,"51,961",,"2,237",,,9,"76,153",,0.454,,,3,"53,287",,0.388,,,10,"23,409",,0.321,,,10,"31,705",,0.636,,,6,"28,718",,0.264,,,43,"66,237",,0.951,,,9,"43,913",,0.324,,,30,"26,858",,0.473,,,37,"96,555",,"5,376",,,-11,"27,175",,"1,082",,,41,"23,819",,0.359,,,9,"15,904",,0.377,,,13,"20,593",,0.32,,,-6,"31,433",,0.518,,,-7,"21,766",,0.294,,,-34,"17,563",,0.305,,,42,"29,849",,0.311,,,32,"15,162",,0.53,,,3,"16,559",,0.375,,,34,"34,664",TO SEE HOW LONG IT TAKES US TO ANSWER MATH QUESTIONS,1,1,,2,,2,32,4,ENGLISH,USA,
75,1,A30MZINA3ANM4F,"163,863",2,3,2,4,2,2,4,4,2,2,3,4,2,4,3,3,2,2,3,2,4,4,4,4,2,4,4,10,21,23,27,"101,284",3,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,4,1,1,1,"42,468",,0.381,,,9,"56,253",,"10,001",3,"46,797",,,,0.925,,,4,"20,396",,"1,644",,,10,"58,519",,"10,001",6,"2,451",,,,10,43,"2,681",,,,10,9,"2,181",,,,"3,009",,,20,"27,485",,"3,507",,,29,"40,506",,10,-11,"2,753",,,,"2,001",41,"2,815",,,,0.833,,,9,"40,249",,"2,001",13,"2,699",,,,"1,237",,,-18,"26,716",,"1,704",,,-7,"43,254",,0.9,,,-34,"32,785",,0.521,,,24,"26,051",,"2,001",32,"2,473",,,,0.913,,,3,"47,109",,0.866,,,34,"33,051",To see if people would disregard instructions after being told they have no free will.,1,1,,4,,1,21,4,English,United States,
76,1,A11KV6KBWYW0XD,"211,119",1,5,4,5,1,3,4,4,1,2,2,3,1,4,3,5,1,4,3,2,5,3,3,4,3,4,4,5,25,25,29,"121,655",3,1,1,1,2,1,1,1,1,2,1,4,1,1,1,3,5,1,1,1,"41,473",,0.524,,,9,"17,701",,0.585,,,3,"38,989",,"10,003",10,"3,594",,,,0.81,,,10,"20,759",,"1,584",,,6,"7,891",,"1,855",,,43,"25,994",,0.526,,,9,"20,675",,0.621,,,30,"12,948",,"1,642",,,27,"24,776",,"1,033",,,-11,"51,807",,0.548,,,41,"16,768",,0.891,,,9,"17,185",,0.745,,,13,"13,272",,0.895,,,-6,"20,557",,0.561,,,-11,"11,682",,"2,002",-34,"9,962",,,,0.479,,,42,"12,717",,0.741,,,32,"13,161",,0.534,,,3,"14,924",,0.814,,,34,"15,315",intelligence and honesty,1,1,,4,,2,25,3,English,USA,
77,1,A2L2OJ069EHLQB,"157,007",2,4,1,4,2,1,3,5,2,1,2,4,3,3,2,3,3,3,2,2,4,3,4,3,2,5,3,12,18,17,29,"116,011",4,1,1,1,3,1,1,1,2,3,1,3,1,2,1,3,3,1,2,1,"53,474",,0.722,,,9,"49,729",,0.948,,,3,"32,196",,0.468,,,10,"34,267",,0.471,,,10,"29,727",,0.516,,,6,"31,413",,0.468,,,43,"29,112",,0.538,,,9,"32,565",,0.525,,,30,"33,024",,0.533,,,27,28.7,,0.481,,,-11,70.81,,0.544,,,41,19.77,,0.608,,,25,"20,307",,0.454,,,13,"20,826",,0.567,,,-6,"42,982",,0.754,,,-7,20.14,,0.382,,,-34,"16,053",,0.394,,,42,"15,194",,0.612,,,32,"14,742",,0.383,,,3,"18,346",,0.491,,,34,"12,899",How one feels about their fate and how that correlates with being honest and pushing the space bar to not see the answers.,1,2,,2,,2,42,6,English,USA,
78,2,A94B7HABSPBFP,"160,086",1,3,1,4,1,1,5,3,1,4,4,1,1,4,2,2,4,1,3,4,3,3,2,4,3,2,4,8,20,26,17,"153,312",1,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,"94,409",,"1,814",,,9,12.72,,0.498,,,3,"16,798",,0.382,,,10,"17,332",,0.379,,,25,"20,416",,0.25,,,6,"8,712",,0.25,,,43,"13,364",,0.184,,,9,"15,444",,"1,118",,,30,"10,032",,10,27,"5,358",,,,"1,074",,,-11,"17,819",,0.84,,,32,"22,464",,0.4,,,9,"14,517",,0.73,,,13,"12,237",,0.408,,,-6,"14,414",,0.547,,,-7,"13,286",,1.2,,,-34,"16,948",,0.42,,,42,"14,677",,0.893,,,32,"12,152",,0.445,,,3,"16,865",,"1,478",,,34,"13,519",Obviously about whether or not people will hit the space bar if they believe there will be no consequences and won't get caught.,4,2,,4,,1,30,7,English,United States,
79,2,A34ZHROFSVEF6V,"208,978",2,4,3,4,2,1,5,5,2,4,2,3,2,2,4,4,3,3,2,3,4,4,5,2,2,3,4,11,20,25,28,"125,268",3,3,1,2,1,1,1,2,1,1,2,2,1,1,1,3,3,1,2,1,"52,946",,0.466,,,9,"37,768",,0.357,,,9,"54,912",,0.302,,,10,"35,548",,0.439,,,10,"27,764",,0.283,,,6,"19,752",,0.804,,,43,"47,655",,0.376,,,9,"23,175",,0.425,,,30,"28,856",,0.364,,,27,42.38,,0.305,,,-11,"65,086",,0.728,,,41,"47,254",,0.344,,,9,"26,368",,"1,111",,,13,"21,721",,0.441,,,-8,15.55,,0.482,,,-7,"38,916",,"2,005",-34,"51,199",,,,0.445,,,42,"30,527",,0.515,,,32,"15,194",,0.565,,,3,"18,196",,0.827,,,34,"28,874",Concentration,4,1,,2,,1,43,7,English,USA,
80,2,A1A7O3TW2O0TPM,"201,465",2,4,4,3,2,4,4,5,2,2,4,4,2,3,4,5,2,3,3,2,4,4,5,3,2,4,4,10,23,27,30,"135,938",4,1,3,1,4,1,1,1,3,4,1,3,1,3,1,5,4,1,3,1,"38,949",,"10,002",9,"60,716",,,,"10,007",3,4.46,,,,"10,011",10,"50,355",,,,"10,017",10,"15,899",,,,"10,011",6,"10,893",,,,"10,011",43,"40,191",,,,"10,002",9,15.34,,,,"10,003",30,"36,688",,,,"10,008",27,13.39,,,,"10,008",-11,"16,434",,,,0.461,,,41,"26,713",,0.335,,,9,"23,389",,"2,003",13,"25,224",,,,0.47,,,-6,"24,196",,0.552,,,-7,"23,756",,0.809,,,-34,"32,677",,0.406,,,42,"23,192",,0.491,,,42,"19,116",,0.456,,,3,"19,047",,0.544,,,34,"16,382",To see if people would do the right thing and solve the problems themselves.,1,2,,2,,1,28,6,English,United States,
81,2,AYEAI8Q2FIX7V,"197,058",2,2,4,3,3,2,3,4,2,3,3,4,4,5,4,3,2,2,2,3,3,4,3,3,1,2,2,13,21,22,22,"50,256",3,2,1,1,3,1,1,1,2,2,3,2,1,1,1,1,3,1,2,1,"37,589",,0.801,,,-21,"37,591",,0.525,,,3,28.55,,0.545,,,10,"45,438",,0.407,,,10,"27,759",,0.64,,,6,"28,722",,0.453,,,43,"22,473",,0.472,,,9,"23,892",,0.384,,,30,"21,619",,0.956,,,27,"23,147",,0.508,,,-11,"38,141",,"2,003",41,6.59,,,,"2,004",9,"2,545",,,,"2,003",13,"1,694",,,,"2,003",-6,"2,362",,,,"2,003",-7,"2,521",,,,"2,002",-34,"2,533",,,,2,42,"2,168",,,,"2,003",32,"1,802",,,,"2,003",3,"1,549",,,,"2,003",34,"1,764",,,I think it's about pepole's patience,1,1,,4,,1,25,7,English,USA,
82,2,A3EEWQFBN8WCWS,"169,862",1,3,4,5,1,1,5,5,2,3,2,5,1,5,2,5,2,4,2,2,4,4,4,1,2,5,2,7,21,21,33,"28,143",2,1,3,1,5,1,1,1,3,5,1,4,1,2,1,4,3,1,2,1,"80,808",,0.581,,,9,"42,706",,0.463,,,3,"28,035",,0.504,,,10,"28,446",,0.606,,,10,"38,077",,0.448,,,6,"27,602",,0.391,,,43,"20,362",,0.488,,,9,"25,685",,0.413,,,30,"23,598",,0.43,,,27,"27,346",,0.397,,,-11,"29,595",,0.449,,,41,"24,792",,0.372,,,15,"28,913",,0.325,,,13,"17,788",,0.335,,,0,"30,053",,0.338,,,-7,"23,303",,0.397,,,-34,32.46,,0.491,,,42,"24,856",,0.482,,,32,"16,849",,0.495,,,3,"19,696",,0.418,,,34,"15,191", no clue,1,2,,2,,2,29,4,english,usa,
83,2,A3MTA9LZ70WISN,"315,059",2,4,4,4,2,4,5,5,2,4,2,4,2,4,4,5,2,4,3,3,2,4,5,4,2,2,3,10,28,26,27,"200,069",4,1,2,1,3,1,1,1,4,3,1,5,1,4,1,5,5,1,4,1,"91,676",,"10,002",29,"117,474",,,,0.347,,,49,"96,972",,"10,002",10,"66,426",,,,0.618,,,10,"51,704",,0.327,,,6,"50,088",,"1,451",,,37,"86,115",,0.139,,,9,"53,535",,"1,216",,,30,"45,149",,0.671,,,27,"49,253",,0.547,,,-11,"154,584",,0.234,,,41,"85,122",,0.355,,,11,30.27,,0.654,,,13,"43,108",,0.008,,,6,"44,577",,0.687,,,-7,"51,168",,"2,001",-34,"101,462",,,,0.541,,,42,42.51,,0.467,,,32,"40,589",,0.432,,,3,"49,045",,0.767,,,34,"41,252",My mental ability to concentrate and my honesty at hitting the space bar.,1,1,,4,,1,69,4,English,United States of America,
84,2,ADUPGWHQ6UR1E,"247,034",1,3,4,2,1,1,5,4,1,2,5,4,1,3,4,1,1,1,5,1,3,4,2,4,2,2,5,5,18,31,18,"199,196",3,1,2,1,2,1,1,1,2,3,1,4,1,1,2,3,4,1,3,2,"97,667",,"2,799",,,24,"88,847",,0.682,,,3,"43,206",,"1,915",,,10,"61,203",,"3,007",,,10,33.3,,"1,472",,,6,"19,493",,"10,015",43,"8,924",,,,0.862,,,9,"69,407",,"10,006",30,"2,962",,,,"1,246",,,27,"40,573",,"10,008",-11,"4,552",,,,0.585,,,60,"9,968",,2.01,9,"3,023",,,,"1,018",,,13,"53,529",,"1,704",,,-8,"25,179",,"2,004",-7,"20,263",,,,0.075,,,-34,"48,673",,0.898,,,30,"16,124",,"1,707",,,32,"21,957",,"1,605",,,3,"37,973",,"1,628",,,33,"46,512",I think the study was to see who cheated and if that behavior was effected by information given prior to test.,1,2,,2,,1,31,4,English,United States,
85,2,A390JCI5XNDKYD,"202,621",1,3,4,2,3,1,5,4,2,2,4,2,3,1,5,4,3,2,3,2,1,4,3,4,3,3,5,12,17,31,19,135.14,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,"103,441",,0.459,,,9,"46,879",,"10,026",3,"58,258",,,,"2,318",,,10,"38,513",,0.51,,,10,"33,292",,0.335,,,6,"25,039",,0.968,,,43,"48,585",,"1,274",,,9,"34,054",,"1,028",,,30,"50,521",,"10,024",27,"14,128",,,,"1,895",,,-11,"46,999",,0.343,,,41,"48,519",,0.541,,,9,"58,929",,0.383,,,9,65.01,,0.953,,,-6,"31,997",,0.35,,,-7,"39,518",,0.307,,,-4,46.52,,0.491,,,42,"26,414",,0.328,,,32,"38,249",,0.319,,,3,"33,186",,0.355,,,34,"30,021",to see how people react in different situations such as the chance to cheat in the math problems,1,2,,1,,2,37,5,english,United States,
86,2,A1ENSE1MG07XO7,"213,348",1,4,1,5,1,1,3,5,2,1,3,5,1,3,4,5,3,4,2,3,5,4,5,4,2,5,2,8,21,20,35,146.36,4,1,3,1,3,1,1,1,3,4,1,4,1,2,1,5,5,1,3,1,"51,582",,0.733,,,9,"22,005",,0.496,,,3,"32,068",,0.539,,,10,"32,596",,0.643,,,10,"20,662",,0.451,,,6,"15,456",,"10,002",43,"6,821",,,,0.889,,,7,"32,181",,0.829,,,30,"34,412",,0.72,,,27,"21,208",,0.895,,,-11,"34,046",,0.793,,,41,"30,762",,0.744,,,9,"34,567",,0.721,,,13,"34,222",,0.642,,,-6,25.43,,0.631,,,-7,"23,001",,"1,153",,,-34,"41,659",,0.643,,,42,"26,094",,0.685,,,32,"18,986",,0.574,,,2,28.68,,0.567,,,44,"28,402", To see if the surveyer would cheat or not given that the answers would be available to them...,1,1,,4,,2,47,6,English,United States,
87,2,A1C0LX0PX3G45Y,"249,160",1,3,3,3,1,1,5,3,1,3,4,2,3,3,5,3,2,4,2,4,2,4,4,4,4,2,4,8,22,31,19,"199,468",3,2,3,2,2,1,2,3,3,4,2,4,1,3,2,3,4,3,3,1,"117,618",,"1,692",,,109,"26,549",,0.923,,,-7,"139,919",,"1,274",,,7,"20,946",,"1,302",,,15,"31,125",,0.698,,,6,"19,499",,"10,001",43,"8,901",,,,"1,013",,,8,"46,967",,"1,664",,,30,"28,282",,0.741,,,61,"36,767",,"10,002",11,"3,968",,,,"2,002",41,"3,842",,,,"2,003",9,"3,983",,,,"2,003",13,"4,057",,,,"2,002",-6,"8,777",,,,"2,002",-7,4.32,,,,"2,002",-34,"4,124",,,,"2,003",42,"2,701",,,,"2,003",32,"2,818",,,,"2,002",3,"2,839",,,,"2,002",34,"2,761",,,to see how honest people are regarding there belifs in fate and personality types,1,2,,4,,1,35,7,english,usa,
88,2,A19R04IXWA4ZLX,"140,717",2,4,3,4,1,1,4,4,1,2,3,4,2,3,5,4,2,3,4,3,4,2,4,2,2,3,4,8,17,28,27,"113,707",4,1,2,1,2,1,1,1,3,2,1,4,1,2,1,3,5,1,3,1,"45,981",,0.394,,,9,"14,104",,0.574,,,3,"21,702",,0.416,,,10,"24,202",,0.811,,,10,"15,381",,0.479,,,6,"14,752",,0.381,,,43,"17,605",,0.445,,,9,"13,404",,0.429,,,30,"13,755",,0.576,,,27,"25,356",,0.417,,,-3,"20,175",,0.443,,,39,"16,067",,0.335,,,9,"15,792",,0.356,,,13,"12,979",,0.586,,,-6,"15,232",,0.414,,,-7,"16,304",,0.59,,,-18,"27,744",,0.368,,,42,"13,102",,0.482,,,32,"14,369",,0.534,,,3,"11,303",,0.423,,,34,"14,102",To see the differences in math ability after reading a story about studies on brain activity.,1,1,,4,,1,32,3,English,United States,
89,2,A248ARSA6FS20S,"245,320",3,3,3,5,1,1,3,5,3,3,2,5,2,2,4,4,2,2,3,3,5,3,4,2,2,5,3,11,16,23,33,"216,989",4,1,2,1,3,1,1,1,4,1,1,5,1,5,1,4,5,1,2,1,"73,545",,"1,168",,,9,32.86,,0.628,,,-1,"32,023",,0.946,,,10,"17,249",,0.777,,,10,"21,113",,0.598,,,6,"29,634",,0.669,,,43,"22,721",,0.718,,,9,"61,064",,0.536,,,50,"22,472",,0.688,,,27,"40,007",,0.772,,,-11,"91,757",,0.626,,,41,"37,032",,0.629,,,9,"74,207",,0.569,,,13,"35,604",,0.569,,,-6,"52,134",,0.566,,,-7,"15,684",,0.58,,,-34,"44,244",,0.513,,,42,"24,663",,0.528,,,28,"14,741",,0.524,,,3,"29,142",,0.565,,,34,18.8,Overcoming the desire to cheat even though I might possibly get away with it.,1,1,,4,,1,52,4,English,United States,
90,2,A2A89RPOKREP2Q,"144,632",4,4,3,3,3,4,3,5,3,4,4,3,3,4,3,3,4,5,3,3,2,3,3,4,3,4,2,17,28,24,23,"149,047",5,1,1,1,3,1,1,1,1,3,1,5,1,1,1,5,5,1,4,1,"58,356",,"6,071",,,103,"40,012",,"2,784",,,0,"22,017",,"2,284",,,20,"17,482",,1.68,,,10,"27,778",,"1,593",,,6,"21,386",,"1,787",,,55,32.11,,"2,397",,,11,"27,523",,"4,139",,,30,"46,396",,"2,835",,,27,"28,577",,"3,744",,,-11,54.29,,"1,507",,,41,"33,523",,"2,003",9,"36,125",,,,"2,004",13,"12,089",,,,"1,157",,,-1,"50,044",,"1,381",,,3,"17,692",,"1,414",,,-34,"33,068",,"2,003",42,"4,779",,,,"2,003",32,"6,516",,,,"1,701",,,3,"34,154",,"2,003",34,"9,638",,,Cognitive ability,1,2,,1,,2,36,4,English,USA,
91,2,A1WFF0FGLTPT3L,"136,322",1,3,4,5,1,4,3,5,1,2,4,5,1,4,3,5,2,5,4,3,3,4,5,4,3,4,4,6,26,28,32,"149,635",4,1,2,1,3,1,1,1,2,3,1,4,1,3,1,3,4,1,2,1,57.45,,0.362,,,9,"49,921",,0.372,,,22,"21,841",,0.38,,,4,11.76,,0.39,,,10,"15,638",,0.386,,,6,"14,726",,0.425,,,43,"17,023",,0.384,,,9,"17,995",,0.389,,,30,"19,734",,0.504,,,25,"18,149",,"1,036",,,-40,"26,535",,0.457,,,39,"18,386",,0.327,,,-17,"16,602",,0.27,,,-25,"15,218",,0.322,,,-6,"12,615",,0.304,,,12,"34,372",,0.312,,,-8,"25,962",,0.302,,,42,"12,085",,0.376,,,32,"11,093",,0.31,,,3,"14,572",,0.329,,,34,"11,948",to see how many people hit the space bar.  (testing integrity),1,2,,4,,1,26,3,english,USA,
